customer_id,signup_date,age_at_signup,income_at_signup,initial_deposit,segment,credit_score_initial,avg_balance_3y,total_deposits_3y,total_withdrawals_3y,total_fees_3y,num_transactions_3y,has_mortgage_3y,has_investment_3y,revenue_interest_3y,revenue_fees_3y,cost_serve_3y,loss_given_default_3y,defaulted_in_3y,CLV_3Y_TARGET,avg_balance_full_history,total_deposits_full_history,total_withdrawals_full_history,total_fees_full_history,num_transactions_full_history,has_mortgage_full_history,has_investment_full_history,defaulted_full_history
CUST-00001,2018-08-01,43,95825.86,587.98,Professional,610,16106.206859733647,48757.757718258916,14257.574217273708,195.0,284,False,False,724.7793086880141,195.0,150.0,0.0,False,769.7793086880141,107346.27984682072,85565.64594411454,37108.35289029838,262.5,522,True,True,False
CUST-00002,2018-11-23,36,64064.02,2624.95,Professional,487,6253.179769559942,22989.720322226865,12516.904508865284,62.5,237,False,False,281.3930896301974,62.5,150.0,14876.256954330023,True,-14682.363864699826,3673.407643598786,22989.720322226865,12516.904508865284,62.5,237,False,False,True
CUST-00003,2018-06-04,27,86588.21,4488.2,Professional,474,111970.98601049246,46231.956751706006,18402.342870343502,67.5,293,True,False,5038.694370472161,67.5,150.0,0.0,False,4956.194370472161,78664.00487841283,46231.956751706006,20207.244654370286,70.0,316,True,False,True
CUST-00004,2019-12-20,41,47881.26,1098.2,Professional,346,15559.878604870126,36745.34159592783,12687.96584735415,72.5,273,False,False,700.1945372191557,72.5,150.0,0.0,False,622.6945372191557,17609.453545676657,41944.13983349068,18518.545575553988,147.5,375,False,False,False
CUST-00005,2020-11-06,18,10978.99,230.08,Student,346,166.8544100410639,5736.4729248569165,5610.815448583492,10.0,126,False,False,7.508448451847874,10.0,150.0,15955.527613972878,True,-16088.01916552103,158.87441651736083,5736.4729248569165,5610.815448583492,10.0,126,False,False,True
CUST-00006,2019-12-29,43,68847.63,27688.36,Professional,433,35104.15319400762,65184.90454805795,15444.404097272507,177.5,316,False,False,1579.6868937303427,177.5,150.0,0.0,False,1607.1868937303427,40435.040332512,78376.32790878283,19670.416618592855,242.5,410,False,False,False
CUST-00007,2019-06-19,53,67413.01,599.06,Professional,411,9916.628932263779,34633.28324931623,10007.63384923964,85.0,204,False,False,446.24830195186996,85.0,150.0,15704.636222822035,True,-15323.387920870166,6557.191232384564,34633.28324931623,10007.63384923964,85.0,204,False,False,True
CUST-00008,2020-02-25,63,51239.67,22326.4,Retired,641,33558.86088098859,57342.72962393747,13444.222525261497,147.5,277,False,False,1510.1487396444866,147.5,150.0,0.0,False,1507.6487396444866,36640.88864489792,67188.87920575961,18372.78329279196,182.5,353,False,False,False
CUST-00009,2020-09-19,33,19882.93,1568.68,Professional,423,4171.195027791885,18710.050620051956,13070.46038881507,190.0,293,False,False,187.70377625063483,190.0,150.0,0.0,False,227.70377625063486,4314.205776890742,20264.413348513437,14207.904415587089,200.0,325,False,False,False
CUST-00010,2018-10-01,41,48462.4,4998.35,Professional,587,12526.275759875196,42448.84509909951,12000.611524507978,120.0,280,False,False,563.6824091943838,120.0,150.0,0.0,False,533.6824091943838,19555.36604450039,64626.285718075414,23020.508512889977,252.5,500,False,True,False
